,spectral_contrast_0,spectral_contrast_1,spectral_contrast_2,spectral_contrast_3,spectral_contrast_4,spectral_contrast_5,spectral_contrast_6
0,20.65990822434319,13.837985439279889,17.602144870741398,16.122507102608246,19.26311808203257,18.39403268481528,64.26591050950324
1,19.1742926424853,13.283377234354019,16.04360455499001,14.83600005240795,18.155272195013353,17.15597658211233,63.997633323704854
2,20.422820182286625,15.250456442640642,17.077452146288536,15.780374520327623,18.835733409025384,17.277736809798675,60.30000425466661
3,19.758422315548938,14.592991527709016,17.149370035595904,15.582526872781042,19.180098188242628,17.765860705989137,61.52431968930447
4,18.518718490107098,13.34581669962643,17.009598725070855,15.2391627916667,18.573576797296017,18.447696490625102,62.601601006154056
5,19.792219363069467,12.929950486637063,16.580892308568334,15.122121245992338,18.474222021931105,17.127152653852228,62.651361451766554
6,22.974446844050473,15.373469444393525,16.746902253098227,16.595099100000166,17.717551589645534,20.001938369134866,62.279407979249406
7,20.734370691065383,14.224295172371763,16.27054079444618,15.462523840105241,17.058369441086782,17.574369626745884,63.390057872244235
8,20.235702736817668,14.202333457910441,16.93959766693018,15.98967871298199,17.122198316397196,18.70440661545186,63.33872826835535
9,19.75731904824529,14.11756165127919,15.71319714540538,15.20797807791411,17.41041976728793,18.43343680037401,61.50085264383278
10,18.842534979428628,13.752623629397387,14.838679005225826,14.482172312364694,16.10616739576058,15.443734269100071,64.69447083286008
11,20.310110290847543,13.561817195584037,15.746918775058786,14.7365512169641,16.746200710625967,16.982577051645944,64.26647776657846
12,20.205985974814926,13.669869947986621,17.325334033188064,16.38022694900996,17.215659985267166,18.00387186584507,62.30012979270781
13,20.8790484628792,13.225176355059233,16.03908329353749,15.246096000442332,16.803033441542805,17.04499485712107,64.49804005475491
14,20.742340078651484,14.71807333878655,15.958614718046839,15.396335953793288,17.051655372779283,17.645672525867095,64.0700160641533
15,21.01111560620458,15.666460271110907,18.675693377594236,17.358021404381358,17.81257397686714,19.420773629262502,65.0742267871233
16,19.883712136535276,13.993226399765675,16.406704255770933,14.879504405157448,16.30618919270203,17.82446236840948,61.82739913366679
17,20.4969623580904,14.537124395514955,16.636070411424342,15.548039180327196,16.338506277649927,17.59680391888681,65.04722135198345
18,19.435437055573356,13.661127358238918,17.25613295067178,15.291733447066312,18.348344518608315,17.897404835573166,65.58429555419836
19,20.072700607799412,14.156549552082252,16.598956202418254,15.300930633363139,17.346116250402197,15.964223158134248,63.49100632688247
20,19.75556632947728,13.51604349838599,16.70233428636746,14.5920581561733,17.080336645255667,16.01887022543983,64.73227787021874
21,19.06047285204594,14.339915567056078,15.26556910120718,14.622516127370181,17.924278965160173,16.237495757933424,65.5011650272796
22,21.18336556708515,13.965457026744609,17.681076932752372,15.537763080300175,20.360653336195295,19.350223207749565,62.62368764702825
23,19.129875282313094,12.84290670458366,16.605316804581825,15.203966132763263,18.55597081547026,17.219653731217107,63.81468450223623
24,21.900432439102364,15.178093071847231,17.903065928030795,15.41411660229896,20.003315325570206,19.543917861648648,63.102009930614386
25,19.924248897752644,15.576724500142367,17.706648622319427,15.871046945298497,18.982657566546298,18.51718522872181,60.7858690950887
26,19.402769614127067,14.02881597561172,17.403505547298536,15.543407741710377,19.450004471443613,18.843460405865418,62.68336681201739
27,21.532271453002135,13.229024898668074,16.508750510735823,16.53374283978865,19.391002812060677,17.518393576602286,62.6521454348505
28,19.9454444382292,13.353039662865864,16.214511650559132,15.833140775812362,19.260113692878964,18.056669355994917,62.20322373820461
29,19.994657805172903,12.490079970182006,15.812093632023078,15.497021272592525,18.427174636516277,17.913030769618963,65.33698326114003
30,21.316200480522248,14.978124524824283,17.183813521858653,15.347120195782969,19.589628424752867,17.631098954101336,62.478504706572906
31,19.8029681993596,14.318607142082072,17.449828653329067,15.456629688465922,18.744740332357495,17.591056256831017,62.270927733020905
32,19.662605225546876,13.301422046136269,15.94809776852104,15.315453420581536,19.077353702871154,17.965091171502735,63.70395830708904
33,20.003258497447202,13.162644597742354,15.539270232821687,14.952321500253014,18.429374661347957,16.98398030597707,64.48545944155249
34,19.664461469777024,14.323399556032095,16.918200918283127,16.23922867526276,19.0908686790362,18.55660511438447,64.98071848419589
35,19.972064995995293,13.64869925214218,15.584520550139105,14.967874078752732,17.82708537438487,17.53913115721967,65.45629847750689
36,20.218605516032795,14.76561504780664,17.17111288912763,15.99828121525956,21.194257559694496,18.521764325111178,64.42121510809906
37,19.894485385370434,13.690438850434179,16.809778022010295,15.548767446513898,19.19409046220276,18.041068836390142,63.952922783543855
38,18.82867209430072,14.38769181996916,17.02333172159724,14.943130123022149,18.410631500203237,18.057179978016087,65.08346975360328
39,19.739614102620344,13.296396809496411,15.221309404734765,14.88776251699647,18.665854411562005,17.274932732980954,64.19307841094827
40,21.123467506177274,16.00655722965967,17.893986065978112,17.37042743454219,19.90672067188952,20.27198360688065,62.68027149530951
